id_gene,ensembl,gene_name,hgnc_symbol,protein_name,protein_id
0,ENSG00000175899,A2M,A2M,A2M_HUMAN,0
1,ENSG00000129673,AANAT,AANAT,AANAT_HUMAN,1
2,ENSG00000165029,ABCA1,ABCA1,ABCA1_HUMAN,2
3,ENSG00000159640,ACE,ACE,ACE_HUMAN,3
4,ENSG00000130234,ACE2,ACE2,ACE2_HUMAN,4
5,ENSG00000142513,ACP4,ACP4,ACP4_HUMAN,5
6,ENSG00000137845,ADAM10,ADAM10,ADAM10_HUMAN,6
7,ENSG00000073670,ADAM11,ADAM11,ADAM11_HUMAN,7
8,ENSG00000148848,ADAM12,ADAM12,ADAM12_HUMAN,8
9,ENSG00000143537,ADAM15,ADAM15,ADAM15_HUMAN,9
10,ENSG00000151694,ADAM17,ADAM17,ADAM17_HUMAN,10
11,ENSG00000104755,ADAM2,ADAM2,ADAM2_HUMAN,11
12,ENSG00000134007,ADAM20,ADAM20,ADAM20_HUMAN,12
13,ENSG00000139985,ADAM21,ADAM21,ADAM21_HUMAN,13
14,ENSG00000114948,ADAM23,ADAM23,ADAM23_HUMAN,14
15,ENSG00000042980,ADAM28,ADAM28,ADAM28_HUMAN,15
16,ENSG00000168594,ADAM29,ADAM29,ADAM29_HUMAN,16
17,ENSG00000069206,ADAM7,ADAM7,ADAM7_HUMAN,17
18,ENSG00000168615,ADAM9,ADAM9,ADAM9_HUMAN,18
19,ENSG00000156140,ADAMTS3,ADAMTS3,ADAMTS3_HUMAN,19
20,ENSG00000141433,ADCYAP1,ADCYAP1,ADCYAP1_HUMAN,20
21,ENSG00000181790,ADGRB1,ADGRB1,ADGRB1_HUMAN,21
22,ENSG00000123146,ADGRE5,ADGRE5,ADGRE5_HUMAN,22
23,ENSG00000069122,ADGRF5,ADGRF5,ADGRF5_HUMAN,23
24,ENSG00000181092,ADIPOQ,ADIPOQ,ADIPOQ_HUMAN,24
25,ENSG00000148926,ADM,ADM,ADM_HUMAN,25
26,ENSG00000128165,ADM2,ADM2,ADM2_HUMAN,26
27,ENSG00000188157,AGRN,AGRN,AGRN_HUMAN,27
28,ENSG00000159723,AGRP,AGRP,AGRP_HUMAN,28
29,ENSG00000135744,AGT,AGT,AGT_HUMAN,29
